title,summary,authors,updated,published
"atlas run 2 searches for electroweak production of supersymmetric
  particles interpreted within the pmssm","A summary of the constraints from searches performed by the ATLAS
Collaboration for the electroweak production of charginos and neutralinos is
presented. Results from eight separate ATLAS searches are considered, each
using 140 fb$^{-1}$ of proton-proton data at a centre-of-mass energy of
$\sqrt{s}$=13 TeV collected at the Large Hadron Collider during its second
data-taking run. The results are interpreted in the context of the 19-parameter
phenomenological minimal supersymmetric standard model, where R-parity
conservation is assumed and the lightest supersymmetric particle is assumed to
be the lightest neutralino. Constraints from previous electroweak, flavour and
dark matter related measurements are also considered. The results are presented
in terms of constraints on supersymmetric particle masses and are compared with
limits from simplified models. Also shown is the impact of ATLAS searches on
parameters such as the dark matter relic density and the spin-dependent and
spin-independent scattering cross-sections targeted by direct dark matter
detection experiments. The Higgs boson and Z boson `funnel regions', where a
low-mass neutralino would not oversaturate the dark matter relic abundance, are
almost completely excluded by the considered constraints. Example spectra for
non-excluded supersymmetric models with light charginos and neutralinos are
also presented.",{'ATLAS Collaboration'},2024-02-02T13:15:48Z,2024-02-02 13:15:48+00:00
95 gev excess in a $cp$-violating $μ$-from-$ν$ ssm,"The CMS and ATLAS have recently reported their results searching for light
Higgs boson with mass around 95 GeV, based on the full Run 2 data set. In the
framework of the CP-violating (CPV) $\mu\nu$SSM, we discuss a $\sim$
2.9$\sigma$ (local) excess at 95 GeV in the light Higgs boson search in the
diphoton decay mode as reported by ATLAS and CMS, together with a $\sim$
2$\sigma$ excess (local) in the $b\bar{b}$ final state at LEP in the same mass
range. By introducing CPV phases as well as by mixing CP-even Higgs and CP-odd
Higgs, a lighter Higgs boson in the $\mu\nu$SSM can be produced, which can
account for the ""di-photon excess"".","{'Hai-Bin Zhang', 'Tai-Fu Feng', 'Jiao Ma', 'Xiao-Yu Zheng', 'Yang Zhou', 'Chang-Xin Liu'}",2024-03-06T02:59:11Z,2024-02-01 16:21:02+00:00
jettiness formulation of the minnlo$_{\text{ps}}$ method,"We present a new formulation of the MINNLO method to match NNLO QCD
calculations with parton showers by using jettiness as a resummation variable.
The full derivation for colour-singlet processes is presented using
$0$-jettiness starting from the NNLL$^\prime$ resummation formula. We show
phenomenological results for Drell-Yan and Higgs-boson production at the LHC
and compare our predictions to ATLAS and CMS data. Differences to the original
MINNLO formulation using the transverse momentum of the colour singlet as
resummation variable are discussed. We further present a comparison of MINNLO
predictions with GENEVA. Finally, we extend the formulation of the MINNLO
method to 1-jettiness which is applicable to processes with a colour singlet
plus one jet in the final state.","{'Markus Ebert', 'Marius Wiesemann', 'Giulia Zanderighi', 'Luca Rottoli', 'Silvia Zanoli'}",2024-02-01T13:45:18Z,2024-02-01 13:45:18+00:00
"explaining the $γγ+x$ excesses at $\approx$151.5 gev via the
  drell-yan production of a higgs triplet","The multi-lepton anomalies and searches for the associated production of a
narrow resonance indicate the existence of a $\approx$151 GeV Higgs with a
significance of $>5\sigma$ and $>3.9\sigma$, respectively. On the one hand,
these anomalies require a sizable branching fraction of the new scalar to $WW$,
while on the other hand, no $ZZ$ signal at this mass has been observed. This
suggests that the new boson is the neutral component of an $SU(2)_L$ triplet
with zero hypercharge. This field leads to a positive definite shift in the $W$
mass, as preferred by the current global fit, and is produced via the Drell-Yan
process $pp\to W^*\to \Delta^0\Delta^\pm$. We use the side-bands of the ATLAS
analysis \cite{ATLAS:2023omk} of the associated production of the Standard
Model Higgs in the di-photon channel to search for this production mode of the
triplet. Since the dominant decays of $\Delta^\pm$ depend only on its mass, the
effect in the 22 signal categories considered by ATLAS is completely
correlated. We find that the ones most sensitive to the Drell-Yan production of
the triplet Higgs show consistent excesses at a mass of $\approx$151.5 GeV.
Combining these channels in a likelihood ratio test, a non-zero
Br$[\Delta^0\to\gamma\gamma] = 0.66\%$ is preferred by $\approx$3$\sigma$,
supporting our conjecture.","{'Andreas Crivellin', 'Guglielmo Coloretti', 'Sumit Banik', 'Bruce Mellado', 'Saiyad Ashanujjaman', 'Siddharth P. Maharathy'}",2024-01-31T19:00:00Z,2024-01-31 19:00:00+00:00
bottomonium suppression in 5.02 and 8.16 tev p-pb collisions,"We compute the suppression of Upsilon(1S), Upsilon(2S), and Upsilon(3S)
states in p-Pb collisions relative to pp collisions, including nuclear parton
distribution function (nPDF) effects, coherent energy loss, momentum
broadening, and final-state interactions in the quark-gluon plasma. We employ
the EPPS21 nPDFs and calculate the uncertainty resulting from variation over
the associated error sets. To compute coherent energy loss and momentum
broadening, we follow the approach of Arleo, Peigne, and collaborators. The
3+1D viscous hydrodynamical background evolution of the quark-gluon plasma is
generated by anisotropic hydrodynamics. The in-medium suppression of
bottomonium in the quark-gluon plasma is computed using a next-to-leading-order
open quantum system framework formulated within potential nonrelativistic
quantum chromodynamics. We find that inclusion of all these effects provides a
reasonable description of experimental data from the ALICE, ATLAS, CMS, and
LHCb collaborations for the suppression of Upsilon(1S), Upsilon(2S), and
Upsilon(3S) as a function of both transverse momentum and rapidity.","{'Sabin Thapa', 'Ramona Vogt', 'Michael Strickland'}",2024-01-30T03:07:39Z,2024-01-30 03:07:39+00:00
"detecting highly collimated photon-jets from higgs boson exotic decays
  with deep learning","Recently, there has been a growing focus on the search for anomalous objects
beyond standard model (BSM) signatures at the Large Hadron Collider (LHC). This
study investigates novel signatures involving highly collimated photons,
referred to as photon-jets. These photon-jets can be generated from highly
boosted BSM particles that decay into two or more collimated photons in the
final state. Since these photons cannot be isolated from each other, they are
treated as a single jet-like object rather than a multi-photon signature. The
Higgs portal model is utilized as a prototype for studying photon-jet
signatures. Specifically, GEANT4 is employed to simulate electromagnetic
showers in an ATLAS-like electromagnetic calorimeter, and three machine
learning techniques: Boosted Decision Trees (BDT), Convolutional Neural
Networks (CNN), and Particle Flow Networks (PFN) are applied to effectively
distinguish these photon-jet signatures from single photons and neutral pions
within the SM backgrounds. Our models attain an identification efficiency
exceeding $99\%$ for photon-jets, coupled with a rejection rate surpassing
$99\%$ for SM backgrounds. Furthermore, the sensitivities for searching
photon-jet signatures from the Higgs boson exotic decays at the High-Luminosity
LHC are obtained.","{'Chih-Ting Lu', 'William Y. Feng', 'Ke Li', 'Xiaocong Ai', 'Shih-Chieh Hsu'}",2024-01-28T16:22:29Z,2024-01-28 16:22:29+00:00
early matter domination at colliders: long live the glueball!,"We prove that collider searches for long-lived particles (LLPs) can test the
dynamics responsible for matter domination in the early universe. In this
letter we concentrate on the specific example of glueballs from a GeV-scale
confining dark sector and compute the dilution of cosmological relics induced
by their decay. We then show that searches for long-lived glueballs from Higgs
decays test increasing values of dilution at ATLAS and CMS, CODEX-b, ANUBIS and
MATHUSLA. We identify the general features that make models of early matter
domination discoverable via LLPs at colliders. Our study provides a
quantitative physics motivation to test longer lifetimes.","{'Filippo Sala', 'Kai Schmidt-Hoberg', 'Fady Bishara'}",2024-01-22T19:00:00Z,2024-01-22 19:00:00+00:00
diffraction and elastic scattering at the lhc,"Several LHC experiments exploit the high acceptance in the forward region.
Most of them use the possibility of measuring the intact proton in an elastic
event. This approach can enhance the purity of selecting jet-gap-jet events,
leading to refined limits on photon-induced processes or to a better study of
pion pair production. Diffraction and elastic scattering plays also the main
role when measuring the rho-parameter or the nuclear slope in total
cross-section measurements.
  In this talk a summary of the latest results on this topic from the ATLAS,
CMS and LHCb experiments has been presented.",{'Anna Fehérkuti'},2024-01-19T15:32:50Z,2024-01-19 15:32:50+00:00
"four top final states with nlo accuracy in perturbative qcd: 4 lepton
  channel","Triggered by the observation of four top-quark production at the LHC by the
ATLAS and CMS collaboration we report on the calculation of the next-to-leading
order QCD corrections to the Standard Model process $pp \to t\bar{t}t\bar{t}$
in the $4\ell$ top-quark decay channel. We take into account higher-order QCD
effects in both the production and decays of the four top quarks. The latter
effects are treated in the narrow width approximation, which preserves
top-quark spin correlations throughout the calculation. We present results for
two selected renormalisation and factorisation scale settings and three
different PDF sets. Furthermore, we study the main theoretical uncertainties
that are associated with the neglected higher-order terms in the perturbative
expansion and with the parameterisation of the PDF sets. The results at the
integrated and differential fiducial cross-section level are shown for the LHC
Run III center-of-mass energy of $\sqrt{s}=13.6$ TeV. Our findings are
particularly relevant for precise measurements of the four top-quark fiducial
cross sections and for the modelling of top-quark decays at the LHC.","{'Nikolaos Dimitrakopoulos', 'Malgorzata Worek'}",2024-01-19T13:20:03Z,2024-01-19 13:20:03+00:00
"searches for fcnc and lepton flavour violating interactions of the top
  quark with the atlas detector","The LHC is a top quark factory and provides a unique opportunity to look for
flavour changing neutral current or charged-lepton flavour violating
interactions of the top quark. These processes are highly suppressed in the
Standard Model and are beyond the experimental sensitivity, but can receive
enhanced contributions in many extensions of the Standard Model. Results of
searches for flavour changing neutral current $tqH$ vertex and charged-lepton
flavour violating $\mu\tau{}tq$ vertex are presented. The searches find good
agreement with the Standard Model expectation and derived exclusion bounds are
improved very significantly.",{'Pavol Bartos'},2024-01-16T07:55:03Z,2024-01-16 07:55:03+00:00
"searches for axion-like particles in proton-proton and ion-ion
  collisions at energies in the center of mass system of 5.02 tev and 13 tev","As part of experimental measurements by the ATLAS collaboration during 2015
and 2018 years of light-on-light scattering in Pb+Pb collisions, at an
integrated luminosity of 2.2 nb$^{-1}$ and energy of 5.02 TeV, we modeled the
cross sections of the axion-like particle (ALP) production, candidates for dark
matter, with subsequent decay into gamma quanta. The obtained calculations
showed the dependence of the cross section on the number of ALPs events, on the
energy in the center of mass system in proton-proton and Pb-Pb collisions and
on the mass region of the ALPs. Using four models with the parameters, which
specify the Good-Walker eigenstates, we calculated the ALP production cross
sections in proton-proton collisions for the single dissociation and
diffractive dissociation components.","{'T. V. Obikhod', 'S. B. Chernyshenko'}",2024-01-12T19:24:18Z,2024-01-12 19:24:18+00:00
transverse momentum balance of dijets in xe+xe collisions at the lhc,"We present a theoretical study of the medium modifications on the $p_{\rm T}$
balance ($x_{\rm J}$) of dijets in Xe+Xe collisions at $\sqrt{s_{\rm NN}}=5.44$
TeV. The initial production of dijets is carried out by the POWHEG+PYTHIA8
prescription, which matches the next-to-leading order (NLO) QCD matrix elements
with the parton shower (PS) effect. The in-medium evolution in nucleus-nucleus
collisions is described by the SHELL model with a transport approach. The
theoretical results of the dijet $x_{\rm J}$ in Xe+Xe collisions exhibit more
imbalanced distributions than that in p+p, consistent with the recently
reported ATLAS data. By utilizing the Interleaved Flavor Neutralisation, an
infrared-and-collinear-safe jet flavor algorithm, to identify the flavor of the
reconstructed jets, we classify dijets processes into three categories:
gluon-gluon ($gg$), quark-gluon ($qg$) and quark-quark ($qq$), and investigate
the respective medium modification patterns and fraction changes of the $gg$,
$qg$, and $qq$ components of the dijet sample in Xe+Xe collisions. It is shown
that the $qg$ component plays a key role in the increased imbalance of the
dijet $x_{\rm J}$, and especially the $q_1g_2$ (quark-jet-leading) dijets
experience more significant asymmetric energy loss than the $g_1q_2$
(gluon-jet-leading) dijets as traversing the QGP. By comparing the $\Delta
\langle x_{\rm J}\rangle$ of inclusive, $c\bar{c}$ and $b\bar{b}$ dijets in
Xe+Xe collisions, we observe $\Delta \langle x_{\rm J} \rangle_{\rm
incl.}>\Delta \langle x_{\rm J} \rangle_{\rm c\bar{c}}>\Delta \langle x_{\rm J}
\rangle_{\rm b\bar{b}}$. Moreover, $\rho_{\rm Xe, Pb}$, the ratios of nuclear
modification factors of dijets in Xe+Xe to that in Pb+Pb, are calcualted, which
indicates that the yield suppression of dijets in Pb+Pb is more pronounced than
that in Xe+Xe due to the larger radius of the lead nucleus.","{'Shuwan Shen', 'Sa Wang', 'Ben-Wei Zhang', 'Yao Li'}",2024-01-03T12:17:24Z,2024-01-03 12:17:24+00:00
"explanation of the 95 gev $γγ$ and $b\bar{b}$ excesses in the
  minimal left-right symmetric model","We propose a simple interpretation of the $\gamma\gamma$ excesses reported by
both CMS and ATLAS groups at 95 GeV together with the LEP excess in the
$Zb\bar{b}$ channel around the same mass in terms of a neutral scalar field in
the minimal left-right symmetric model (LRSM). We point out that the scalar
field which implements the seesaw mechanism for neutrino masses has all the
right properties to explain these observations, without introducing any extra
scalar fields. The key point is that this scalar particle is hardly constrained
because it couples only to heavy right-handed particles. As a result, the
diphoton decay mode receives contributions from both mixing with the Standard
Model (SM) Higgs and the heavy charged bosons in the LRSM, depending on the
$SU(2)_R\times U(1)_{B-L}$ symmetry breaking scale $v_R$. The complete allowed
parameter space for explaining the 95 GeV excesses in this model can be probed
with the high-precision measurements of the SM Higgs mixing with other scalars
at the high-luminosity LHC and future Higgs factories.","{'P. S. Bhupal Dev', 'Rabindra N. Mohapatra', 'Yongchao Zhang'}",2024-01-30T00:19:48Z,2023-12-29 18:41:36+00:00
"combined explanation of lhc multi-lepton, di-photon and top-quark
  excesses","The LHC analyses of processes containing two or more leptons and missing
energy, possibly in association with b-jets, show strong tensions with the
Standard Model predictions and are known as multi-lepton anomalies. In
particular, top-quark differential distributions point towards the associated
production of new Higgs bosons decaying into bottom quarks and W bosons
($>5\sigma$) with masses consistent with the di-photon excesses at 95GeV and
152GeV ($3.8\sigma$ and $4.9\sigma$, respectively). Furthermore, CMS found
indications for resonant top-quark pair production at 400GeV ($3.5\sigma$) and
both ATLAS and CMS reported elevated four-top and ttW cross-sections. In this
article, we propose a combined explanation of these excesses by supplementing
the SM Higgs with a second scalar doublet, a real scalar singlet ($S$) and a
Higgs triplet with $Y=0$ ($\Delta$); the $\Delta$2HDMS. We fix the masses of
the neutral triplet-like and the singlet-like scalars by the di-photon
excesses, i.e. $m_{\Delta^0}=152$GeV and $m_S=95$GeV, respectively. Here, H,
the CP-even component of the second doublet, is produced via gluon fusion from
a top-loop and decays dominantly to $S+\Delta^0$ whose subsequent decays to WW
and bb explain the differential top-quark distributions for $\sigma(pp\to H\to
S\Delta^0)\approx6$pb. Fixing the top-Yukawa accordingly, the CP-odd Higgs
boson A turns out to have the right production cross-section to account for the
resonant top-pair excess at 400GeV, while the top-associated production of H
and A results in new physics pollution of Standard Model ttW and four-top cross
sections, as preferred by the data. Furthermore, a positive shift in the W mass
is naturally induced by the vacuum expectation value of the triplet and we show
that the most relevant signal strengths of the 152GeV boson are compatible with
the process $pp\to H\to \Delta^0S$ if S is allowed to decay invisibly.","{'Bruce Mellado', 'Andreas Crivellin', 'Guglielmo Coloretti'}",2023-12-28T19:00:00Z,2023-12-28 19:00:00+00:00
light-by-light scattering at next-to-leading order in qcd and qed,"The recent experimental observation of Light-by-Light (LbL) scattering at the
Large Hadron Collider has revived interest in this fundamental process, and
especially of the accurate prediction of its cross-section, which we present
here for the first time at Next-to-Leading Order (NLO) in both QCD and QED. We
compare two radically different computational approaches, both exact in the
fermion mass dependence, thus offering a strong cross-check of our results. The
first approach is a fully analytic method to calculate compact and
well-organized two-loop helicity amplitudes. The second one is entirely
numerical and leverages the Local Unitarity construction. Our two calculations
agree with each other and conclude that including the exact fermion mass
contribution typically increases the size of the NLO corrections. Moreover, we
find that the exact result converges slowly to the massless limit of the
high-energy regime, thus emphasizing the importance of including the full mass
dependence at NLO. We also compare our results with the ATLAS measurement of
LbL in ultra-peripheral lead-lead collisions, and find that the inclusion of
exact NLO corrections reduces, but does not eliminate, the existing tension
with theoretical predictions.","{'Hua-Sheng Shao', 'Ajjath A H', 'Ekta Chaubey', 'Mathijs Fraaije', 'Valentin Hirschi'}",2024-03-10T20:10:12Z,2023-12-28 11:00:15+00:00
global lhc constraints on electroweak-inos with smodels v2.3,"Electroweak-inos, superpartners of the electroweak gauge and Higgs bosons,
play a special role in supersymmetric theories. Their intricate mixing into
chargino and neutralino mass eigenstates leads to a rich phenomenology, which
makes it difficult to derive generic limits from LHC data. In this paper, we
present a global analysis of LHC constraints for promptly decaying
electroweak-inos in the context of the minimal supersymmetric standard model,
exploiting the SModelS software package. Combining up to 16 ATLAS and CMS
searches for which electroweak-ino efficiency maps are available in SModelS, we
study which combinations maximise the sensitivity in different regions of the
parameter space, how fluctuations in the data in individual analyses influence
the global likelihood, and what is the resulting exclusion power of the
combination compared to the analysis-by-analysis approach.","{'Théo Reymermier', 'Wolfgang Waltenberger', 'Sabine Kraml', 'Timothée Pascal', 'Sahana Narasimha', 'Andre Lessa', 'Mohammad Mahdi Altakach'}",2024-03-08T16:49:33Z,2023-12-27 16:40:45+00:00
a 95 gev higgs boson in the georgi-machacek model,"CMS and ATLAS have reported small excesses in the search for low-mass Higgs
bosons in the di-photon decay channel at exactly the same mass, $95.4~$GeV.
These searches rely on improved analysis techniques, enhancing in particular
the discrimination against the $Z \to e^+e^-$ background. In models beyond the
Standard Model (SM) that extend the Higgs sector with triplets, doubly-charged
Higgs bosons are predicted which can contribute substantially to the di-photon
decay rate of a light Higgs boson. The Georgi-Machacek (GM) Model is of
particular interest in this context, since despite containing Higgs triplets it
preserves the electroweak $\rho$-parameter to be$~$1 at the tree level. We show
that within the GM model, a Higgs boson with a mass of $\sim 95~$GeV with a
di-photon decay rate as observed by CMS and ATLAS can be well described. We
discuss the di-photon excess in conjunction with an excess in the $b \bar b$
final state observed at LEP and an excess observed by CMS in the di-tau final
state, which have been found at comparable masses with local significances of
about $2\sigma$ and $3\sigma$, respectively. The presence of a Higgs boson at
about $95~$GeV within the GM model would imply good prospects of the searches
for additional light Higgs bosons. In particular, the observed excess in the
di-photon channel would be expected to be correlated in the GM model with a
light doubly-charged Higgs boson in the mass range between $100~$GeV and
$200~$GeV, which motivates dedicated searches in upcoming LHC Runs.","{'Cheng-Wei Chiang', 'Ting-Kuo Chen', 'Georg Weiglein', 'Sven Heinemeyer'}",2023-12-20T18:06:56Z,2023-12-20 18:06:56+00:00
